tweet_text,sentiment
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative
has someone contacted jelpi about the issue rn? unhappy ,negative
arisun at town hall has pretty terrible service and rude staff. we only went there because ICG's fryer was broken unhappy ,negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative
Powerpoint'te mi hazirladiniz post'u unhappy ,negative
Yeah! My sight reading was pretty good in high school,negative
 but I'm a bit rusty now! unhappy  ,negative
only pure evil people unhappy ,negative
poor baby unhappy  I hate people ,negative
what a great thing to be sad about unhappy ,negative
so my hair iand suandlight versus ando light but I waandt to chaandge it and I duandando if I waandt to go darker or bloandder sad  please help (po ,negative
Hi Ashish! We tried to call your number but got no response unhappy  Please share another suitable time and an alternate.. cont1,negative
Kante why do broke girls love exposing broke niggars so much? Where's the team spirit? unhappy ,negative
But i want unhappy  that looks so yummy hehehe.,negative
Don't think I'm pretty enough unhappy ,negative
Koalas are dying of thirst  and it's all because of us unhappy  ,negative
did some warm up sketches of some of my faves,negative
  i was going to add bazza,negative
 but i can't,negative
i just want to wish marissa a happy birthday but she keeps ignoring me sad ,negative
what's wrong with you why don't you like animals unhappy ,negative
Someone build house on (4) i cant do it unhappy  cant believe this hasn't already been done????,negative
tulips are my favorite unhappy  ,negative
Omg I'm sad to say that I actually don't remember this! unhappy  when did this happen??,negative
crying  We're getting VM soon wooo,negative
unhappy  my 4c struggle is not valid?,negative
77 ? Old Leyland,negative
 love it unhappy ,negative
only pure evil people unhappy ,negative
sounds family ,negative
this is jimin to yoongi unhappy  ,negative
Chin up Leo crying  ,negative
slight buzy kasi besh unhappy  ,negative
Rip tes 100k experience  crying ,negative
please reading this breaks my heart unhappy ,negative
mager unhappy ,negative
penge damit unhappy ,negative
this is jimin to yoongi unhappy  ,negative
Bapak Tom Cruise. ,negative
I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  ,negative
I just watched this kid from produce 101 who performed Chewing Gum omoo poor kid bless his soul unhappy ,negative
Definitely my arms unhappy  ,negative
My moms leaving today to go out of town and I already miss her unhappy ,negative
I can't do it all on my own. (See what I did there? ) ,negative
When your online crush comes to the meet-up without their Snapchat filter unhappy  ,negative
and i would never forget about you!! ,negative
fuckin' headache everyday unhappy ,negative
Jyoust hyoug me,negative
 hyoug me longer than 10 secs. Hyoug me even when i don%27t want you to unhappy ,negative
the saddest part of my day everyday is when ryan has to leave at 5:30 am unhappy ,negative
What did he say I'm at work unhappy  totally made my day though,negative
jimin doesnt follow me yet unhappy ,negative
I DON'T KNOW WHERE I WAS AT THIS TIME BUT I HAVE RETWEETED NOW AND I'VE BEEN WAITING THE DM FOR A LONG TIME unhappy ,negative
need moodbooster juseyo unhappy  ,negative
i miss you too unhappy ,negative
Wth why did 4/20 have to happen during the Easter holidays it's one of the best days in Leeds unhappy ,negative
hakyeon turns 27 soon oh my god no he's still a baby unhappy ,negative
It's gray outside today unhappy ,negative
I ordered car yesterday,negative
 dealer said loads of cars were returning due to disabled losing them sad ,negative
Gotta keep trying before i have to quit to work unhappy  pick me please! give ,negative
Definitely my arms unhappy  ,negative
I literally couldn't see a thing when they were at the back of the stage,negative
 the girl in front of me was ,negative
Definitely my arms unhappy  ,negative
getting up this morning was a hassle unhappy ,negative
My mom knows the struggle of this drystreak I'm on unhappy  ,negative
Haven't played FM in a long time. I really should. unhappy ,negative
Someone messed up unhappy  Available**,negative
I miss my baby unhappy ,negative
Yesterday's faci so cute! But he 30+ :(Today's faci is old eeyer,negative
yes jenniessi? ,negative
SO PRECIOUS I REALLY MISS HIM unhappy   ,negative
Louis_Tomlinson follow me please? unhappy ,negative
I WAITED FOR U unhappy ,negative
That makes me sad. unhappy  I wasn't friends with her like you,negative
 but I liked seeing her posts and love her wri ,negative
I WAITED FOR YOU unhappy  ,negative
U4v9rr I wish I had noted the gentleman's name unhappy  but if you find out who he is,negative
 please do commend him. H ,negative
I do it for 5/6 times a week leh sad  and yes closing is damn fuck opening so much better,negative
no one is selling vhope banners what?  sad ,negative
All my irls are coming at me because I meet the boys too much and I don't deserve any of it unhappy ,negative
you might set the whole place on fire.  ,negative
i'll try sad and yes i am unhappy ,negative
Goodmorning!! My Parents are taking kids for lunch today- they are off school-Report Card! I'm wor ,negative
yeah sad ,negative
Streaming later in the day (night stream) since i have to go and take care of the internet contract,negative
 sorry guys unhappy ,negative
True unhappy ,negative
help me too unhappy  as an early birthday gift huhu,negative
Definitely my arms unhappy  ,negative
Just please look at how scared and full of tence lauren's face is after tryin reaching camila's hand,negative
 baby unhappy  (bett,negative
aww eunji didnt see win today sad  but congratulations to winner !!!!,negative
You can have mine and I'll take the iPhone. I'm switching back when my contract is up... in a year and a half unhappy ,negative
i know.. i really want his ranks to rise a lot during tmr's episode but seeing how many tweet about him.. unhappy ,negative
 Hitches Ride For Final unhappy  ,negative
White genocide is not a thing. Its figment of your imagination. Youre a victim of nothing but disinformation. ,negative
one direction (band)  whats going on unhappy ,negative
Too bad i can't watch it unhappy  that cake is cute and looks delicious,negative
Definitely my arms unhappy  ,negative
give me my own AHN MINHYUK juseyoooo unhappy ,negative
sorry unhappy  i just need sex for the time being,negative
Definitely my arms unhappy  ,negative
wants to say HI to you.,negative
this is jimin to yoongi unhappy  ,negative
It seems they cost abut 40k a year? I'm paying half that for my full education and don't get treat ,negative
Definitely my arms unhappy  ,negative
come to Miami sad  ,negative
TW: S AssaultActually horrified how many friends of mine women I talk to have been sexually assaulted in past. Just found out another unhappy ,negative
my heart unhappy  ,negative
soph please don%27t win again unhappy   jk.. good luck i think you will draw a good poster,negative
sad  I don't,negative
 unfortunately,negative
i really feel for that lamp unhappy ,negative
sadly I'm not unhappy ,negative
last kiss unhappy  ,negative
WHY ARE YOU WHIMPER AT ME? ,negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative
Been streaminuteg for 45 minute not understanding a thing and still.. unhappy ,negative
Why is it so difficult for me to get at least a chance unhappy ,negative
for some reason last.fm unlinks from spotify and i miss like a month of scrobbles before i notice unhappy ,negative
only take season 9 off ,negative
Definitely my arms unhappy  ,negative
Definitely my arms unhappy  ,negative
All of the park areas in Paris are marked as green on Google maps,negative
 but in reality they're just patches of dusty dirt unhappy ,negative
ill be at work just a second come on unhappy ,negative
and he's still taking over a quarter of the billboard charts while x is,negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative
Guys please help I tried to smoke some lettuce earlier but now my salad is ruined unhappy ,negative
CAN SOMEONE PLS GIFT ME XAYAH USING PI PLSSSS? unhappy ,negative
instant message still bored unhappy ,negative
this is jimin to yoongi unhappy  ,negative
My heart hurts. sad  I hate people ,negative
can just see the edge creeping in unhappy  ,negative
Its not organicthey'll shoehorn it inbut plot  character developmentMCU netflix has lesWhat support ,negative
I suddenly miss you ate unhappy ,negative
Biggest problem for paper books is storage unhappy ,negative
i havent been this early to school since last semester unhappy ,negative
Pierces like a bitch unhappy ,negative
I think that's one of the hottest part of your body  ,negative
wow this is amazing but i won't be in the country unhappy  ,negative
Definitely my arms unhappy  ,negative
i want harry's phonecase sad ,negative
Work at 7 this morning unhappy ,negative
jungkook looks like he gives the biggest and warmest hugs unhappy  ,negative
Ah Baba no idea tori olorun. May I never be a victim of such case ,negative
PSA: REMEMBER THIS WHEN YOU ASK ARTISTS TO DRAW FOR YOU. I'd say the same thing for writers but apparently commissi ,negative
I want to give him everything that makes him happy just to see this smile unhappy ,negative
I miss Jamie boy and we're both sick unhappy ,negative
what if the one direction (band)  itself is the one who's giving up? unhappy  ,negative
damn ify ate unhappy ,negative
Whaaattt ,negative
don't rt to save a guy's life ,negative
Nooo your hair color is pretty ,negative
Koalas are dying of thirst  and it's all because of us unhappy  ,negative
Definitely my arms unhappy  ,negative
where's justin i miss him unhappy ,negative
Someone should bring me breakfast to work unhappy ,negative
Thats grim unhappy ,negative
oh noooo baby unhappy ,negative
I'm so tired unhappy ,negative
I miss you Levi unhappy ,negative
i left my headphones at home unhappy  kms,negative
I wish I was meeting OA again unhappy ,negative
A year ago today is the last time Sakho played for us unhappy ,negative
they would have sustained their fame if they did unhappy ,negative
I miss him unhappy  ,negative
ich will ned unhappy ,negative
When your online crush comes to the meet-up without their Snapchat filter unhappy  ,negative
This is by far my worst day of 2017 since January 8th unhappy  crying  crying .,negative
Note to self: Dont get to attached crying ,negative
Mine hasn't been sending stuff unhappy ,negative
Definitely my arms unhappy  ,negative
Roc Boyz sad  ,negative
i love you but I can%27t be arsed i don%27t know why people keep saying it unhappy ,negative
No Celtics or Bruins today unhappy  At least Sale is pitching for the Sox,negative
I honestly think that their just trying to get rid of me and make a mockery out of me in my Town because i just wont admit it. unhappy ,negative
Nooo your hair color is pretty ,negative
Aseek ,negative
Bantay? unhappy ,negative
Trying to get in touch with but their numbers appear to be down! unhappy ,negative
Need your help guys crying  ,negative
A fish killer going to be pressed younhappy  I the hoe of today you were a  GOOD person ,negative
I need lessons to learn how to start conversations with people and keep chatting with them unhappy ,negative
 Who hacked me unhappy ,negative
Damn you both,negative
 I won't be on till later! unhappy ,negative
Lets hope a VIP does this good deed. I want to watch this too . They shouldn't have done thi ,negative
sometimes at night i feel scared and vulnerable crying ,negative
If you really want to dye it don't go lighter ,negative
how come i didn't get a reminder email this month unhappy ,negative
wowwow these are all so cute unhappy  i wantt ,negative
 [PLEASE RT] he'll buy me a blinking taehyung headband,negative
 if i get 900 retweets and 900 likes. help me :(un,negative
younhappy  I'll keep it jyoust for you,negative
Damn it isn't available here unhappy  ,negative
it's $10 but also free postage. i wish the seller had yanan and yeo one too. unhappy ,negative
Don kray denial of normal bi say ,negative
Same unhappy  I've unfollowed so many people ugh,negative
 it's such a negative pit of unhappiness,negative
its ending soon aah unhappy ,negative
Definitely my arms unhappy  ,negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative
Faltan Russel  why Noodle unhappy ,negative
yeah i am unhappy  thank you so much my angel ,negative
i miss jihoon sad ,negative
We lost: at Jacksonville,negative
 2010 Week 11,negative
 24-20 unhappy ,negative
i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest unhappy  ,negative
Guess who's not getting a unicorn frappuccino because they're sold out unhappy ,negative
what if the one direction (band)  itself is the one who's giving up? unhappy  ,negative
come back callie  gabbie d ghost unhappy  i love you both,negative
unhappy  oh man..,negative
it kind of feels like a sunburight now right now sad  someone please make the nobby things on glasses not slip,negative
Guess who's not getting a unicorn frappuccino because they're sold out unhappy ,negative
Would really like it if the coandsole versioands and got the update to makr it like the Steam versioand. =(,negative
Hi! We tried to call your number but got no response unhappy  Please share another suitable time and an alternate number.. cont1,negative
Sooooo feels like a Friday today unhappy ,negative
Definitely my arms unhappy  ,negative
I miss talking to yoyoyou  who are yoyou younhappy  yoyou can always still talk to me ,negative
This picture makes me sad unhappy  ,negative
why can't dogs just live forever unhappy ,negative
I understand that look sad ,negative
my boyfriend mad cute unhappy ,negative
i miss minmin crying ,negative
good morning i had a nightmare and i'm still wondering why maddie hates me. this is only the beginning of the day unhappy ,negative
pake unhappy ,negative
I miss London already unhappy ,negative
jyoustinbieber can you please follow me on daianeryoufato i've been trying for too long unhappy  i love you so much baby! xx (April 20,negative
 2017 at 08:45AM),negative
Deep scratch ;_;All the paint is gone  you see the bare metal. So it needs to be fixed to avoid getting a rusting car soon unhappy ,negative
when will you go here in batangas? sad  ,negative
I miss you more unhappy ,negative
I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  ,negative
this wasnt meant to sound ano sad ,negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative
One year ago today unhappy  ,negative
this song will always be one of my faves unhappy  ,negative
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,negative
fuck get me followers unhappy  my ratio is amazing,negative
mom please stop making cookies,negative
 they're like 90 calories per piece unhappy  ,negative
I miss the 7/27 costumes unhappy ,negative
why did she delete the tweet,negative
 now I need a different pinned tweet unhappy  ,negative
[thinks about how tfp soundwave is forever trapped in the void realm] unhappy ,negative
You deserve better . Hope you'll be okay unhappy  ,negative
mane has been amazing unhappy ,negative
Dammit the effect of the linearts doesn't show so nicely on twitter unhappy ,negative
but like HOW LONG IS A WHILE?! i didn't want him to be back but he puts me in such a good mood so i don't want him ,negative
we can get pork katsudon at Tokyo Diner! Tho it doesn't have egg in it unhappy ,negative
before anyone else we ass hole unhappy ,negative
the anniversary of josh's death unhappy ,negative
so sorry I havent been checking my tweets unhappy  We are all here for you!,negative
Aww unhappy  I'm on Coeurl,negative
Oh no unhappy ,negative
I liked a video ,negative
my puppies deserves all better unhappy  ,negative
My husband has a family history with the mafia too but he doesn't know the stories sad ,negative
WTF Canada 2017 and you are still in the 1700s. I Will Never support,negative
 buy or do anything that supports Canada until,negative
suuuuuuuuss scared crying ,negative
One table last night told me I look like a graceful ballerina gliding through tables- then another told me I looked like a flash dancer unhappy ,negative
seem I want to drop this account to wuhyungwon unhappy  ,negative
Don't ask. Two special issues lined up. unhappy ,negative
you got to rest,negative
 man. : ( ,negative
Does anyone have a 7 adapter or 7 earbuds i can borrow for the day? Left mine in my car unhappy ,negative
I'm staying here in SA unhappy ,negative
Preacher...... unhappy ,negative
Umma why you do this crying ,negative
I miss it already unhappy ,negative
Well thanks for stoping by unhappy ,negative
Why? You don't like blonde hair? unhappy ,negative
3. That's a lot cheaper and easier than make your own. My schematic needs special cables that doesn't come easy. unhappy ,negative
Pozuelo (formerly of Swans) and Suso (Liverpool now AC),negative
 both look so so good at there current clubs. Shame they never cut it in the PL unhappy ,negative
Gorbachev done  w/o fear. Thought bold enough to implement his vision on Damp Squib unhappy ,negative
WUUT SERIOUSLY? ,negative
Who got to pen today man crying ,negative
As if this process hasn't been frustrating enough,negative
 it's just got 3 years longer unhappy   ,negative
Roc Boyz sad  ,negative
Ravel Morrison unhappy  ,negative
That is super scary unhappy ,negative
Same. unhappy  I got a 12h stream coming up for my Bday in 8 hours. And I'm still not sleeping. ,negative
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,negative
Ps4 mate,negative
 got to aksis 2nd part and have a CP for him but have never completed it since return on investment dropped laughing out loud unhappy ,negative
we left it all unspoken,negative
 we buried it alive and now it's screaming in my head crying ,negative
DONT LAUGH unhappy  MEANIE BASE ,negative
Sorry I didn't make it to the book drive yesterday couldn't get outta work unhappy ,negative
yoongi come back unhappy ,negative
NOOOO in here is 6.45 ;_; I have classes at that time unhappy ,negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,negative
Call Duration: Before sex: 01:47:36 After sex: 00:00:19 crying ,negative
this is jimin to yoongi unhappy  ,negative
I'm all fucked up right now unhappy ,negative
Definitely my arms unhappy  ,negative
Last day of the camp tomorrow,negative
 it's been so much fun and I absolutely love the kids!! Don't want it to be over so soon unhappy ,negative
Koalas are dying of thirst  and it's all because of us unhappy  ,negative
Think it would drive me mad once the synths and other robots turned up. unhappy ,negative
now i don%27t want to go camp unhappy ,negative
can I only pick one unhappy  ,negative
But I'm lonely. unhappy ,negative
Hi! We tried to call your number but got no response unhappy  Please share another suitable time and an alternate number for.. cont1,negative
Miss my friends unhappy ,negative
The one on the left? I couldn't see it unhappy ,negative
not applicablengarag not applicable this unhappy  ill find more wonu pictures soon alxmdkcsnx ,negative
please answer request.  unhappy ,negative
Koalas are dying of thirst  and it's all because of us unhappy  ,negative
most painful thing ever is having feelings for someone you can't be with .. unhappy ,negative
No one is offering this poor old lady a seat unhappy ,negative
lexxxxxy unhappy  youre too nice to me instant message really not eek  ,negative
Why am I better at pen then pencil?dafaqcomonI just want to be a good drawer unhappy ,negative
mayes unhappy  .g,negative
Thanks for that! Little things like that really help when sleep starts hitting and you don't drink coffee or energy drinks unhappy ,negative
i miss them already unhappy  ,negative
Definitely my arms unhappy  ,negative
oh my god what the heck i'm so sorry! this was one of my favorites as well unhappy ,negative
Scout photobombed my bluebells photo sad  ,negative
Crap. Hailie won't be there. She has a school game and won't make it to Middleburg in time unhappy ,negative
Still NO sign - it's a very small area ( Gardens ) and it would be very obvious sad  quite a few eyes now ,negative
 but no sign.,negative
My knee is similar colour to leny Henry's unhappy ,negative
Okey unhappy ,negative
In so much pain. My eye hurts unhappy  ,negative
Don't be buffalo unhappy ,negative
It's hard to imagine anyone but Robin unhappy  but still exciting nonetheless,negative
at least it's not 80 cad like here unhappy  (90 cad with Quebec taxes),negative
Ye... I will miss you unhappy ,negative
22 is old unhappy ,negative
Rl? Serius? ,negative
I feel so awful today unhappy  I don't want to go to my internship,negative
So I may be one of those workers who are not properly compensated unhappy ,negative
i love when people or message me w long messages about how beautiful they find joon like unhappy  yes i agree keep going,negative
today hasn't been great unhappy  ,negative
Used up a month's worth at Laugharne Weekend sad  (no wi-fi in small Carmarthenshire towns,negative
 let alone for free!),negative
Today is 4-20 which is Hitler's birthday unhappy  ,negative
jungkook looks like he gives the biggest and warmest hugs unhappy  ,negative
Youngjae looked so sad in the video unhappy ,negative
babies unhappy  ,negative
I'll check that out... I was excited about the backup singers but they were way too backup unhappy ,negative
First round exit in 15 minutes followed by 45 of tech crying unhappy  ,negative
my puppies deserves all better unhappy  ,negative
resolve is sooo slow on my laptop,negative
 i don't think i'll be ever to edit long videos here unhappy  i'll go try another editing software ,negative
I hate throwing up  unhappy ,negative
As Nani in lies unconscious,negative
 never mind Khushi,negative
 I know I'm not ready to say goodbye unhappy  So,negative
 w,negative
:^) hello ,negative
He's not beating the two favourites here anyway so I'll stop caring about this match,negative
 sob. unhappy ,negative
I feel like the 'only environments disable people' argument actually excludes many disabled people ,negative
this is jimin to yoongi unhappy  ,negative
Baaaper unhappy  ,negative
Roc Boyz sad  ,negative
Roc Boyz sad  ,negative
So,negative
 last night I had a dream in which I moved to Japan and just so happened to see you! You denied my friendlies request. unhappy ,negative
SO PRECIOUS I REALLY MISS HIM unhappy   ,negative
Oh no unhappy  what are you like?!  Is it still in shops?,negative
aando uandhappy  i googled it the other day to read the meandu agaiand and it said it was a hoax,negative
Thank you unhappy  i need a certificate signed from God,negative
Hi Mahima! We share your concern unhappy  Please DM us your contact details so that we can get in touch for a detailed.. cont1,negative
talking about tattoos just makes me want my bb8 tattoo more and more but i'm so broke it makes me unhappy ,negative
Never want to finish desperate housewives what will I do with my life unhappy ,negative
Not surprised that I have the least amount of followers out of the whole cast sad  LOL,negative
Dear attendees,negative
 I'm very jealous of you all unhappy  Please go see 18:40 - Green Room on Sat! ,negative
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,negative
Ok will do! I never had any problems with the old ticket app,negative
 the new one just seems a bit unstable unhappy ,negative
We'd love to,negative
 but customs mean we can't send food abroad unhappy  We do hope your other Birthday dreams come true,negative
,negative
freebet any sport except total mkets on handball,negative
 basketball etc theyre all restrict.Threw ,negative
ikr!! unhappy  oki welcome sam ,negative
Speech-to-text doesnt understand my accent or Irish names unhappy ,negative
this is jimin to yoongi unhappy  ,negative
there are some rumors going around and videos of his performances on youtube have already been deleted.. ,negative
I've Just Wrote 30 Tweets About But Still Didn't Notice Me crying ,negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative
but why? unhappy ,negative
Definitely my arms unhappy  ,negative
you don't post much lately?  school unhappy  ,negative
U GUYS ARE NOT NOTICING ME unhappy ,negative
Koalas are dying of thirst  and it's all because of us unhappy  ,negative
Sorry for being tired on stream. Will get some sleep and try be more fun tomorrow. Just wasn't feeling it tonight guys. Not,negative
just now I saw. But you did not reply unhappy ,negative
how to be you piss off crying  3,negative
My boo))): ,negative
how about me bes jup unhappy ,negative
Andy unhappy  ,negative
Lage unhappy ,negative
I have to wake up at 4:30 tomorrow so my body's gotten a head start by waking up at 4:30 every day this week unhappy ,negative
wish i had someone to  cuddle me right now unhappy ,negative
Hi Julie,negative
 I'm so sorry to see your tweet unhappy  Please could you DM your address details? I will look i ,negative
I'm trying to stay positive but I can't help be jealous of princess Mia's life. All she does is cuddle and eat unhappy ,negative
Russell my phone is just 10% is there a possibility or a chance that you would notice me? unhappy  ,negative
Am away next Thursday unhappy  the one after!,negative
Peacefully sitting here reading my book after work,negative
 watchman comes and threatens me,negative
 assumes Im outsider because of my ,negative
oh shiiiiid noooooor unhappy  ,negative
Oh well never liked Clay anyway unhappy ,negative
unhappy  :/ unhappy   feeling sick,negative
Okay lang friend promise meant to be broken =( HAHAHAHA,negative
do you even care at all unhappy ,negative
One year ago today unhappy  ,negative
I MISSED YOU A WHOLE LOT unhappy  ,negative
I know how you feel,negative
 my views have gone done by about 100 monthly unhappy ,negative
mane has been amazing unhappy ,negative
senior snaps are starting to get so senti aw unhappy ,negative
instant message still hoping unhappy  ,negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative
unhappy  sure,negative
One of my faves too unhappy  I'm tying to get it up on Vimeo so you guys can still watch it x,negative
dang guess my plans are ruined unhappy  ,negative
Koalas are dying of thirst  and it's all because of us unhappy  ,negative
unhappy  But if there'll be 1 Silver-that'd be him!,negative
red velvet too unhappy  ,negative
my puppies deserves all better unhappy  ,negative
Che no critiques. unhappy ,negative
Feeling so shit today unhappy ,negative
beauty ,negative
I face swapped a cat with a dog and it's really upsetting unhappy  ,negative
Miss the rain unhappy ,negative
this is jimin to yoongi unhappy  ,negative
I'm just really soft spoken unhappy ,negative
PLAYMFS: need moodbooster juseyo unhappy  jily_jelly,negative
Koalas are dying of thirst  and it's all because of us unhappy  ,negative
pake 3 unhappy ,negative
SO PRECIOUS I REALLY MISS HIM unhappy   ,negative
Bells gone to daddies for to  days. Work  work work for me unhappy ,negative
damn that's unfortunate for them unhappy ,negative
Well that's my weekend viewing plans changed! unhappy ,negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative
I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  ,negative
When i got doubts about my summer happiness. Why zcc? unhappy ,negative
Mmmmm I guess your not getting much acting work these days? You have too much time on your hands unhappy ,negative
I wish I could say the gangs all here but Daniel's not in this picture. unhappy   Rantoul Twp High ,negative
Oh no Andy unhappy ,negative
This is what we have in front of us.,negative
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,negative
I'm sooooo sleepy unhappy ,negative
Must Feel Like Shit When Men Can Stare Down The Barrel Of A Bong As They Spend Their Kid's Milk Money unhappy ,negative
Alright. Looks like back to chores behind the scenes. My page hits drop to 1K daily when I don't visit and post. unhappy ,negative
Hi! We tried to call your number but got no response unhappy  Please share another suitable time and an alternate number for us to.. cont1,negative
Long time no chat sad ,negative
Its not organicthey'll shoehorn it inbut plot  character developmentMCU netflix has lesWhat support ,negative
miss you unhappy ,negative
Koalas are dying of thirst  and it's all because of us unhappy  ,negative
When will 2NE1 reunite unhappy ,negative
Bring back the ginger curls =(,negative
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,negative
  3 3 3 please unhappy  ,negative
and he gave me his pass so like i think a while is never unhappy ,negative
I work so much better there unhappy ,negative
 Hi Tharakaram! That's not the experience we want you to have unhappy  Please DM us your numbers so that we can get this.. cont1,negative
This is so damn touching. unhappy  ,negative
my puppies deserves all better unhappy  ,negative
I want to be cuddled up having someone do that little back trace thing to put me to sleep unhappy ,negative
You mean your voice changed? unhappy ,negative
those nights you're sad in real life and cant sleep unhappy ,negative
ohh normally I feel sick when I drink like 3-4 cups of coffee ,negative
 maybe coffee is not for you unhappy ,negative
I miss you crying ,negative
honestly college makes me want to curl up into a ball and cry for 3 days straight unhappy ,negative
Huhu so lucky unhappy ,negative
Weare are u? unhappy  ,negative
Im just having one of those days where instant message like,negative
 Damn... this just Sucks! unhappy ,negative
I've tried resetting everything,negative
 still strict,negative
 if I can't fix it soon I'll have to delay them until tomorrow unhappy ,negative
You know what really upsets me? When a stranger on the internet isn't satisfied with the entertainment I provide him for,negative
Hi! We tried to call your number but got no response unhappy  Please share another suitable time and an alternate number.. cont1,negative
i want to meet you both so bad unhappy ,negative
me want please unhappy ,negative
In memoriam of Alea Starbridge unhappy  Your beautiful voice will never be forgotten. ,negative
hawhaw crying  ,negative
What dat? unhappy ,negative
please read unhappy  ,negative
I miss him so much unhappy ,negative
Sorry. One bad egg has to embarrass the rest. unhappy ,negative
I don't want to adult today.. it's my birthday unhappy ,negative
I miss Temperance Brennan and Seeley Booth so much unhappy ,negative
June 5 - June 16 unhappy  ,negative
[thinks about how tfp soundwave is forever trapped in the void realm] unhappy ,negative
get well really soon Jack unhappy ,negative
32- for the love of a daughter crying  ,negative
iiiiI WOULD LIKE A BOOOK !  fuck off unhappy  ,negative
I'm so tired of pretending I'm not falling for you unhappy ,negative
on the way,negative
 although i'll be a little late sad  ,negative
More than just a picture unhappy  ,negative
WUT I TOTALLY MISSED YOUR BDAY unhappy  Happy belated Birthday sweetheart,negative
I hope it was great ,negative
I love you waaaaay more baby unhappy  you're the sweetest and most adorable little angel,negative
 I'm so glad I have you ,negative
Koalas are dying of thirst  and it's all because of us unhappy  ,negative
It's been a year haha unhappy ,negative
guys this is really serious and i hope you don%27t judge me unhappy ,negative
shouldn't keep Kenyans complaining on ,negative
.I can't believe this hasn't been fixed yet,negative
 and I can't believe customer service just goes ,negative
aw younhappy  i miss you too ,negative
Aww I was trying to cheer you up unhappy ,negative
FAMOUS sa facebook ,negative
 but in reality ALONE and LONELY  unhappy ,negative
Sorry for no stream yesterday,negative
 I have a cold unhappy  we'll see how I feel today!,negative
Wtf?! Where's the What is this boring show that's on?! When did this happen?? This is what happens when I close all week. unhappy ,negative
Back at it again with the matemticas unhappy ,negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,negative
IM HUNGRY unhappy ,negative
I can't draw naked women crying ,negative
Hi Ashish! We've an update regarding your concern but your number was switched off unhappy  Please share another suitable time.. cont1,negative
U blackmailed me unhappy ,negative
why am i not in aus with alisha unhappy  imagine the things we could be doing,negative
When Jongin asked each members whether they have eaten and felt so wronged because they ate without him unhappy  ,negative
instant message cramping sad ,negative
I hate losing online friends unhappy  it's cruel when people deactivate unhappy  ,negative
Guys please help me retweet unhappy  ,negative
Pretty much only the Twitters and it doesn't really work out for me sad ,negative
the only appropriate ones i have unhappy  ,negative
:'(( well,negative
 at least in my case it has not yet completely broken tho,negative
 but how about yours? unhappy ,negative
Nope unhappy ,negative
I miss Temperance Brennan and Seeley Booth so much unhappy ,negative
don%27t be surprised if you see me cry today,negative
 instant message in a lot of pain and the school doesnt allow my to have my pain meds unhappy ,negative
oh jeez.  i didn't even try taking a crack at it because i expected the build to be so bad,negative
 ha  unhappy ,negative
R.I.P Victoria Wood  heaven knows we're miserable now unhappy ,negative
That was a FUN night! Sorry I missed last night unhappy  We really need to sync our calendars with and ,negative
when will you notice me? unhappy  ,negative
same unhappy  ,negative
 whats crazy is when i walked through them doors EVERY ADMINISTRATION + HER WAS THERE THAT NIGHT. so why are her a,negative
and yet if parents invest in child's emotional education by taking child out of school on holiday early that's un ,negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,negative
i want more orientation unhappy ,negative
unhappy  they not ,negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,negative
wish knock out lang talaga for the new school year are good and cooperative groupmates please unhappy ,negative
i miss so much unhappy ,negative
Same unhappy ,negative
Hi instant message your friend  friend lang,negative
 hindi close friend? unhappy,negative
